@RELATION nothing 
@ATTRIBUTE webpage string
@ATTRIBUTE rating {1,-1}
@ATTRIBUTE tweet string
@ATTRIBUTE uid string
@ATTRIBUTE lda real
@ATTRIBUTE language_model real
@ATTRIBUTE tweet_length integer
@ATTRIBUTE chars integer
@ATTRIBUTE isverified {true,false}
@ATTRIBUTE followers_count integer
@ATTRIBUTE statuses_count integer
@ATTRIBUTE listed_count integer
@ATTRIBUTE friends_count integer
@ATTRIBUTE absolute_time_difference integer
@ATTRIBUTE relative_time_difference integer
@ATTRIBUTE binary_decision {1.0,-1.0}
@ATTRIBUTE capped_time_after integer
@ATTRIBUTE contains_url {true,false}
@ATTRIBUTE url_count integer
@ATTRIBUTE hashtag_count integer
@DATA
"http://www.washingtonpost.com/world/scores-dead-in-egypt-after-security-forces-launch-assault-on-protesters-camp/2013/08/15/563c95a0-0575-11e3-a07f-49ddc7417125_story.html?Post+generic=%3Ftid%3Dsm_twitter_washingtonpost",1,"52add8e700323226c4465784","9d446b2940cf44b184cbc8f3fe05e376",0.8684714489494146,-7.520592176864954,13.0,136.0,false,321.0,34311.0,33.0,194.0,300911000.0,300911000.0,1.0,300911000.0,false,1.0,6.0
"http://www.washingtonpost.com/world/scores-dead-in-egypt-after-security-forces-launch-assault-on-protesters-camp/2013/08/15/563c95a0-0575-11e3-a07f-49ddc7417125_story.html?Post+generic=%3Ftid%3Dsm_twitter_washingtonpost",1,"52add1cf00323226c41f4df3","9d446b2940cf44b184cbc8f3fe05e376",0.9684402978252397,-6.539493956075983,13.0,138.0,false,60.0,12222.0,33.0,8.0,12506000.0,-12506000.0,-1.0,0.0,false,1.0,1.0
"http://www.washingtonpost.com/world/scores-dead-in-egypt-after-security-forces-launch-assault-on-protesters-camp/2013/08/15/563c95a0-0575-11e3-a07f-49ddc7417125_story.html?Post+generic=%3Ftid%3Dsm_twitter_washingtonpost",-1,"52ade24b00323226c47da8f5","9d446b2940cf44b184cbc8f3fe05e376",0.0,-8.492409963337941,15.0,139.0,false,61.0,235.0,1.0,189.0,739369000.0,739369000.0,1.0,739369000.0,false,1.0,3.0
"http://www.washingtonpost.com/world/scores-dead-in-egypt-after-security-forces-launch-assault-on-protesters-camp/2013/08/15/563c95a0-0575-11e3-a07f-49ddc7417125_story.html?Post+generic=%3Ftid%3Dsm_twitter_washingtonpost",-1,"52ae001c00323226c51dd5ba","9d446b2940cf44b184cbc8f3fe05e376",0.02042508063061475,-7.647215076687795,10.0,136.0,false,67.0,12142.0,3.0,30.0,2035707000.0,2035707000.0,1.0,2035707000.0,false,1.0,1.0
"http://www.washingtonpost.com/world/scores-dead-in-egypt-after-security-forces-launch-assault-on-protesters-camp/2013/08/15/563c95a0-0575-11e3-a07f-49ddc7417125_story.html?Post+generic=%3Ftid%3Dsm_twitter_washingtonpost",1,"52add21400323226c42142ac","9d446b2940cf44b184cbc8f3fe05e376",0.9682683754440666,-7.792734527188326,12.0,114.0,false,1302.0,13418.0,80.0,652.0,949000.0,949000.0,1.0,949000.0,false,1.0,3.0
"http://www.washingtonpost.com/world/scores-dead-in-egypt-after-security-forces-launch-assault-on-protesters-camp/2013/08/15/563c95a0-0575-11e3-a07f-49ddc7417125_story.html?Post+generic=%3Ftid%3Dsm_twitter_washingtonpost",-1,"52adc66100323226c4065a02","9d446b2940cf44b184cbc8f3fe05e376",0.01469120323447263,-7.845249661434668,9.0,134.0,false,1129.0,1500.0,20.0,1569.0,227856000.0,-227856000.0,-1.0,0.0,false,1.0,2.0
"http://www.washingtonpost.com/world/scores-dead-in-egypt-after-security-forces-launch-assault-on-protesters-camp/2013/08/15/563c95a0-0575-11e3-a07f-49ddc7417125_story.html?Post+generic=%3Ftid%3Dsm_twitter_washingtonpost",1,"52add72000323226c43c5a56","9d446b2940cf44b184cbc8f3fe05e376",0.9787807854402509,-7.252797700732785,12.0,141.0,false,171.0,12913.0,4.0,526.0,220223000.0,220223000.0,1.0,220223000.0,false,1.0,1.0
"http://www.washingtonpost.com/world/scores-dead-in-egypt-after-security-forces-launch-assault-on-protesters-camp/2013/08/15/563c95a0-0575-11e3-a07f-49ddc7417125_story.html?Post+generic=%3Ftid%3Dsm_twitter_washingtonpost",1,"52ade51b00323226c48dc4ce","9d446b2940cf44b184cbc8f3fe05e376",0.6889757828151775,-6.47034375964356,9.0,114.0,false,40.0,930.0,1.0,440.0,870836000.0,870836000.0,1.0,870836000.0,false,1.0,2.0
"http://www.washingtonpost.com/world/scores-dead-in-egypt-after-security-forces-launch-assault-on-protesters-camp/2013/08/15/563c95a0-0575-11e3-a07f-49ddc7417125_story.html?Post+generic=%3Ftid%3Dsm_twitter_washingtonpost",-1,"52ae433800323226c66ced38","9d446b2940cf44b184cbc8f3fe05e376",0.01380190912149788,-8.378370333444456,15.0,136.0,false,1247.0,127602.0,74.0,1153.0,4834890000.0,4834890000.0,1.0,4834890000.0,false,1.0,2.0
"http://www.washingtonpost.com/world/scores-dead-in-egypt-after-security-forces-launch-assault-on-protesters-camp/2013/08/15/563c95a0-0575-11e3-a07f-49ddc7417125_story.html?Post+generic=%3Ftid%3Dsm_twitter_washingtonpost",1,"52add41000323226c42b6352","9d446b2940cf44b184cbc8f3fe05e376",0.8348047031993848,-7.217591515653241,14.0,136.0,false,867.0,22501.0,25.0,2001.0,81602000.0,81602000.0,1.0,81602000.0,false,1.0,3.0
